segment,bedrijf,voornaam,email,plaats,sector,opt_out,notitie
bedrijven,VOORBEELD Bouwbedrijf Jansen,Kim,info@voorbeeld-bouw.nl,Almere,bouw,0,Voorbeeldregel: wordt door send_campaign.py overgeslagen. Vervang door echte leads.
scholen,VOORBEELD Basisschool De Vlinder,,directie@voorbeeld-school.nl,Almere,basisonderwijs,0,Voorbeeldregel zonder voornaam: aanhef wordt 'Hey team van ...'.
scholen,IKC De Duinvlinder,,directie@ikcdeduinvlinder.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS De Droomspiegel,,info@droomspiegel.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,IKC De Expeditie,,info@ikc-expeditie.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS Crescendo,,crescendo@skofv.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS Het Kristal,,s.geukens@het-kristal.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS De Lettertuin,,dir.lettertuin@skofv.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS Panta Rhei,,k.vangemonden@bspantarhei.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS Pirouette,,directie@kbspirouette.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,KBS Het Zonnewiel,,info@zonnewiel.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,IKC De Woudreus,,directie@ikcdewoudreus.nl,Almere,basisonderwijs,0,SKO Almere (katholiek)
scholen,CBS De Buitenburcht,,info@buitenburcht.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Olijfboom,,directie@de-olijfboom.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Kraanvogel,,info@dekraanvogel.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Ark,,dir.ark@prisma-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Driemaster,,dir.driemaster@prisma-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Dukdalf,,dir.dukdalf@prisma-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Ichthus,,dir.ichthus@prisma-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Kleine Wereld,,c.doezejager@de-kleine-wereld.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,SBO De Klimop (Stad),,dir.klimopstad@prisma-almere.nl,Almere,speciaal basisonderwijs,0,Prisma (christelijk)
scholen,SBO De Klimop (Buiten),,dir.klimopbuiten@prisma-almere.nl,Almere,speciaal basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Optimist,,optimist@prisma-almere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,CBS De Lichtboei,,directie@lichtboei.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,IKC De Regenboog,,administratie@regenboogalmere.nl,Almere,basisonderwijs,0,Prisma (christelijk)
scholen,Sterrenschool De Ruimte,,info@sterrenschoolderuimte.nl,Almere,basisonderwijs,0,Prisma (christelijk)
